name,description,topics,languages,last_updated,watchers,forks,stars,branches,tags
microfrontend-restaurants/order,,[],"['TypeScript: 71.4%', 'HTML: 16.5%', 'JavaScript: 11.6%', 'CSS: 0.5%']",,0,0,0,1,0
microfrontend-restaurants/root-config,,[],"['EJS: 52.5%', 'JavaScript: 34.4%', 'HTML: 13.1%']",,0,0,0,1,0
microfrontend-restaurants/server,,[],"['C#: 91.8%', 'Dockerfile: 8.2%']",,0,0,0,1,0
microfrontend-restaurants/discover,,[],"['TypeScript: 65.5%', 'HTML: 24.8%', 'JavaScript: 8.8%', 'CSS: 0.9%']",,0,0,0,1,0
microfrontend-restaurants/navbar,,[],"['TypeScript: 74.8%', 'JavaScript: 14.9%', 'HTML: 8.7%', 'CSS: 1.6%']",,0,0,0,1,0
